in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
424,0.48014959,0.569565462,0.208960813,0.199125605,0.174093171,1.832046532,8.01243677,23.93894067,0.415690751,0.040496969,0.800080212,23.4293655,0.454133994,0.000237588,180165.9043,213876.498,88,91,83,92,126,89,89,104,87,90,102,85
425,0.24779748,0.495650712,0.617686436,0.669983353,0.14587078,0.946701981,6.023980895,19.27390591,0.418805925,0.673582426,1.003749481,20.09600036,0.262797586,0.000236026,250242.116,523850.6097,78,64,70,81,82,79,82,81,81,78,69,73
426,0.239220314,0.676701474,0.66015742,0.444453439,0.406816692,0.182959219,9.653478073,26.50410432,0.822203992,0.630769414,0.862817348,25.01474852,0.571617011,0.000302238,255531.6274,469946.6828,83,79,78,84,85,82,85,85,83,84,82,80
427,0.668918093,0.403248296,0.37239222,0.223034656,0.783460401,1.20961036,8.292768173,23.29278007,0.951723326,0.611498653,1.022515663,23.48560469,0.366736779,0.000498324,327172.4047,615926.983,73,74,71,77,77,76,76,78,76,75,69,68
428,0.367658598,0.625909067,0.308749921,0.605887995,0.973582176,1.942301698,27.31490822,7.248950974,0.406097933,0.791275082,0.826098362,27.38841005,0.353866904,0.000249377,211375.792,347652.6804,80,77,77,82,84,80,83,84,81,80,75,76
429,0.753790056,0.700150697,0.756050459,0.495189072,0.887407977,0.351286009,18.49723131,39.4029145,0.558317574,0.381767946,1.06727779,27.03688503,0.341452319,0.000471865,358258.6714,453699.6797,79,74,75,81,79,79,81,80,79,78,73,73
430,0.469525034,0.514973464,0.74840331,0.493297096,0.878716462,0.656940824,21.62071093,34.50691403,0.485411473,0.045411148,1.142487998,26.46645017,0.561742008,0.000339347,377340.379,520639.844,88,91,83,88,92,85,89,97,85,88,85,82
431,0.315514479,0.576884195,0.566014373,0.316929727,0.592148045,1.482516253,19.26814072,19.02576815,0.712920339,0.263151223,1.099160529,23.33436578,0.475153452,0.000319831,357695.9403,450043.863,80,77,76,82,83,80,84,84,81,81,75,74
432,0.591642207,0.184767054,0.716974808,0.768977555,0.683048735,1.672540887,6.638023481,14.77138321,0.304492011,0.035763894,0.926349262,28.28630992,0.444938156,0.000269507,280680.8484,329611.907,88,92,85,87,94,86,89,100,87,84,87,83
433,0.53567942,0.723801339,0.699204516,0.551213227,0.905736537,0.729392406,27.8935739,25.8055867,0.362643934,0.516979952,0.861048781,27.71776818,0.231174501,0.000415784,184018.4856,292721.171,79,69,72,81,78,79,81,80,79,78,69,73
